CustomerID,TenureMonths,ContractType,MonthlyCharges,SupportTickets,FeatureUsageScore,TotalCharges,Churn
CUST-0000,43,One year,102.7916794738378,3,40,4852.70945404286,0
CUST-0001,66,Month-to-month,86.38893842262333,0,55,6031.000056835654,0
CUST-0002,3,Month-to-month,108.9953288755889,6,63,304.8632297683679,0
CUST-0003,45,One year,51.0872816781361,5,29,1849.294654098812,0
CUST-0004,17,One year,64.68944947536443,0,88,1008.8024446892767,0
CUST-0005,21,Month-to-month,93.50269384764614,1,34,1996.8201973063392,0
CUST-0006,14,Month-to-month,104.91507307575186,1,41,1937.5885593767748,0
CUST-0007,54,Month-to-month,122.95009518622038,3,72,7136.208080399366,0
CUST-0008,48,Month-to-month,23.251653986730258,4,62,1084.551375195328,0
CUST-0009,46,Month-to-month,20.0,5,55,739.1448919752244,0
CUST-0010,42,One year,70.67093916495736,8,56,2961.2186763419445,1
CUST-0011,32,One year,120.69543059194716,2,73,3826.162800045578,1
CUST-0012,16,Month-to-month,69.22918874573303,9,69,1262.50441041748,0
CUST-0013,12,Month-to-month,107.69777132908823,5,95,1473.1401010354475,0
CUST-0014,51,Month-to-month,84.12351163165141,9,47,4493.11253205352,0
CUST-0015,55,One year,91.8718285390195,2,93,4670.998367791801,0
CUST-0016,48,One year,68.09522556359848,7,72,3322.4241809613295,1
CUST-0017,45,Month-to-month,42.25299669579241,2,22,1506.9058524652573,0
CUST-0018,39,Month-to-month,92.47128234347373,6,84,3368.6134892486198,0
CUST-0019,60,Month-to-month,75.58967828539191,6,64,5110.241993776201,0
CUST-0020,63,Month-to-month,124.29761858071063,0,23,8028.1231588720675,0
CUST-0021,38,Month-to-month,61.3254736237196,3,85,2880.940234829473,0
CUST-0022,15,Two year,64.25527180266081,3,40,995.2447750530221,1
CUST-0023,38,Month-to-month,106.25604343152723,5,67,4255.067560905908,0
CUST-0024,52,Month-to-month,45.52398827502293,7,72,2163.0032695488007,0
CUST-0025,39,One year,95.94697939492023,6,65,3991.4525197553266,0
CUST-0026,50,Month-to-month,89.04286540418086,1,60,4705.540033588933,0
CUST-0027,65,Two year,101.36033448767301,7,32,6487.957986235161,1
CUST-0028,19,Month-to-month,90.69433009220265,8,32,1682.868564164061,0
CUST-0029,17,Two year,53.85326311488383,7,30,910.2434025292846,1
CUST-0030,48,One year,58.17132113683128,2,79,2966.26814000832,0
CUST-0031,17,Month-to-month,47.73469966263995,5,27,817.0347050634392,0
CUST-0032,23,Month-to-month,54.8561728555128,5,41,1215.5512463200573,0
CUST-0033,54,Month-to-month,78.97486190776314,5,82,4685.148084793605,0
CUST-0034,32,Two year,127.02316357243066,9,31,4201.126890849441,1
